OTU	ED10_S_Wi2013	EN17_S_Wi2013	EN20_S_Wi2013	EOI15_S_Wi2013	EOI20_S_Wi2013	EOK10_S_Wi2013	EOK20_S_Wi2013_PS	EU08_S_Wi2013	LD10_S_Wi2013_PS_A	LN20_S_Wi2013_PS	LOK10_S_Wi2013	EN15_S_Wi2013	EN30_S_Wi2013	EB10_S_Wi2013
SWARM_1302	1	0	0	1	2	0	0	0	0	4	49	0	0	0
SWARM_1305	14	9	24	0	0	0	0	12	0	2	0	11	1	0
SWARM_1307	8	5	47	1	2	21	0	19	0	0	1	0	0	0
SWARM_1306	212	60	180	1	22	73	0	182	5	1	3	1	0	6
SWARM_4213	0	0	0	0	1	1	9	0	0	12	12	0	12	2
SWARM_4311	0	0	0	0	1	0	0	0	21	0	4	0	0	0
SWARM_4310	0	0	0	0	0	0	0	0	16	0	2	0	0	0
SWARM_4312	0	0	0	0	0	0	0	0	16	4	3	0	0	2
SWARM_2301	1	16	53	1	3	30	0	7	0	0	0	1	0	1
SWARM_2302	11	19	35	1	3	29	0	7	0	0	0	0	3	0
SWARM_2304	0	8	36	0	0	1	0	0	0	0	0	0	0	0
SWARM_504	0	4	20	17	118	29	0	23	1	10	131	0	7	10
SWARM_507	2	36	26	30	43	24	2	10	0	7	3	0	6	1
SWARM_506	0	144	2	2	6	7	3	7	0	0	0	0	1	1
SWARM_501	1	0	0	0	3	4	4	0	26	107	133	0	16	1
SWARM_500	0	0	0	0	1	0	0	0	15	20	152	0	13	0
SWARM_503	12	42	100	6	6	31	0	21	6	0	0	74	5	0
SWARM_502	16	26	36	1	5	22	2	40	0	9	0	1	2	0
SWARM_508	0	0	0	0	0	0	0	0	163	0	0	0	0	0
SWARM_3205	0	0	0	0	0	0	0	0	27	0	0	0	0	0
SWARM_3202	0	0	0	0	0	0	0	0	25	0	0	0	0	0
SWARM_3200	0	0	0	0	0	0	0	0	32	5	6	0	1	4
SWARM_3201	0	0	0	0	0	0	0	0	26	0	0	0	0	0
SWARM_3208	0	0	0	0	0	0	0	0	28	0	5	0	0	0
SWARM_15683	0	0	0	0	0	0	0	0	0	0	0	7	0	0
SWARM_15686	0	0	0	0	0	0	0	0	0	0	0	5	0	0
SWARM_14085	0	0	0	0	0	0	6	0	0	1	0	0	0	0
SWARM_14084	0	0	0	0	1	0	4	0	0	0	0	0	0	0
SWARM_14083	0	0	0	0	0	0	4	0	0	0	0	0	0	0
SWARM_14082	0	0	0	0	0	0	4	0	0	0	0	0	0	0
SWARM_14081	0	0	0	0	0	0	7	0	0	0	0	0	0	0
SWARM_14080	0	0	0	0	0	0	4	0	0	0	0	0	0	0
SWARM_14089	0	0	0	0	0	0	5	0	0	0	0	0	0	0
SWARM_14088	0	0	0	0	0	0	4	0	0	0	0	0	0	0
SWARM_347	0	2	180	10	4	8	0	0	0	0	0	3	0	0
SWARM_346	0	2	10	8	95	20	0	4	12	5	6	0	6	1
SWARM_345	0	0	0	0	0	0	0	0	0	0	0	2	0	192
SWARM_343	1	21	275	34	221	7	0	1	5	5	9	0	9	3
SWARM_342	0	193	0	0	0	2	0	0	0	0	0	0	1	0
SWARM_341	21	52	54	0	2	10	0	39	3	0	0	0	5	22
SWARM_340	0	0	0	0	0	0	0	0	0	0	270	0	0	2
SWARM_349	0	0	0	0	7	1	0	0	20	43	111	0	14	3
SWARM_348	0	166	19	4	3	1	0	0	0	0	0	0	12	0
SWARM_7689	0	0	0	0	0	0	0	0	0	0	2	0	0	16
SWARM_4401	0	0	0	0	2	0	0	0	0	0	0	0	0	15
SWARM_4404	5	4	12	1	3	6	5	5	0	0	0	0	0	0
SWARM_4407	0	1	0	0	3	3	7	0	1	0	0	0	5	20
SWARM_2802	1	5	1	10	3	3	0	3	0	0	0	1	0	0
SWARM_2801	0	3	1	0	2	5	11	10	7	4	0	0	1	3
SWARM_2804	1	2	0	0	1	0	5	0	4	14	3	0	0	2
SWARM_5464	0	0	0	0	0	0	1	0	20	0	1	0	0	0
SWARM_2119	2	37	0	0	0	0	0	0	0	0	0	0	0	2
SWARM_2118	5	11	9	1	6	20	0	1	0	2	48	0	2	2
SWARM_2110	0	0	0	0	0	0	0	0	34	20	20	0	2	0
SWARM_2112	0	0	0	0	0	0	0	0	0	0	38	0	1	0
SWARM_2115	0	1	2	11	42	1	0	0	2	0	0	0	0	0
SWARM_2114	2	18	2	9	43	0	0	4	0	0	2	0	2	3
SWARM_2117	0	0	0	0	0	0	0	0	0	5	0	0	33	7
SWARM_7199	0	1	1	12	0	0	0	0	0	0	0	0	0	0
SWARM_3998	11	21	1	0	0	0	0	0	0	0	0	0	1	0
SWARM_3992	19	10	5	1	0	2	0	0	0	0	0	0	1	3
SWARM_3993	12	13	5	0	1	2	0	6	0	1	0	2	1	1
SWARM_3991	13	8	3	0	0	0	0	3	0	0	0	0	1	0
SWARM_1591	0	41	0	0	0	12	0	10	0	0	0	0	0	3
SWARM_1592	0	0	0	0	0	0	0	0	6	30	16	0	1	0
SWARM_1593	3	2	2	0	3	3	0	40	0	0	0	0	0	2
SWARM_1594	32	5	6	0	1	2	0	2	0	0	0	0	0	0
SWARM_1596	17	12	11	1	0	8	0	5	0	0	0	0	0	0
SWARM_1597	7	3	0	0	0	8	0	34	0	0	0	0	0	0
SWARM_1599	18	7	25	0	3	8	0	19	0	0	0	0	0	1
SWARM_3255	0	0	0	1	0	0	0	0	0	0	0	30	0	0
SWARM_12280	0	0	0	0	0	0	4	0	0	0	0	0	0	1
SWARM_18759	0	0	0	0	0	0	4	0	0	0	0	0	0	0
SWARM_18755	0	0	0	0	0	0	5	0	0	0	0	0	0	0
SWARM_1074	0	0	0	0	0	0	0	0	0	2	54	0	3	0
SWARM_6902	0	32	2	0	0	0	0	1	0	0	0	0	0	0
SWARM_4671	0	0	0	0	0	0	0	0	27	21	21	0	0	0
SWARM_2631	0	0	0	0	0	0	0	0	5	2	100	0	2	0
SWARM_2634	0	0	0	30	11	0	0	0	0	0	0	0	0	0
SWARM_2635	0	0	0	18	18	1	0	0	0	0	0	0	0	1
SWARM_2636	0	0	0	15	15	4	0	8	0	0	0	0	0	0
SWARM_2637	0	0	0	5	21	2	0	0	3	0	2	0	0	0
SWARM_909	1	5	7	0	3	30	0	41	0	0	0	0	0	2
SWARM_908	0	0	0	0	0	0	0	0	0	0	0	0	0	97
SWARM_901	2	9	36	0	2	5	0	6	0	2	0	11	0	0
SWARM_900	2	48	22	1	0	13	0	10	0	0	0	0	0	0
SWARM_903	2	12	14	0	1	127	0	48	0	0	0	0	0	0
SWARM_902	3	6	30	0	2	14	0	36	0	7	0	0	1	0
SWARM_905	0	0	0	0	0	0	0	0	28	0	93	0	0	0
SWARM_904	0	0	0	0	0	0	0	0	138	0	0	0	0	0
SWARM_906	0	0	0	0	0	0	0	0	0	2	70	0	1	3
SWARM_9724	0	0	0	0	0	0	0	0	17	4	4	0	0	3
SWARM_8232	0	0	0	0	0	1	6	0	0	0	0	0	0	0
SWARM_1381	0	0	0	0	0	0	0	0	0	48	16	0	0	1
SWARM_1380	0	37	65	7	44	45	0	13	0	0	0	0	0	1
SWARM_1383	0	4	31	6	7	5	0	3	0	22	34	0	9	0
SWARM_1384	0	5	0	1	4	0	0	2	5	19	3	0	10	10
SWARM_1387	0	0	0	0	0	0	3	0	13	195	29	0	7	11
SWARM_1386	0	4	37	0	2	36	0	3	0	0	0	0	2	0
SWARM_1389	0	0	0	0	0	30	0	20	0	0	0	0	0	7
SWARM_1388	0	0	0	0	0	0	0	0	0	0	0	0	0	64
SWARM_2437	0	0	0	0	0	7	0	26	0	0	0	0	0	0
SWARM_2432	0	0	2	18	42	0	0	0	0	0	0	0	0	0
SWARM_2431	0	0	0	18	14	0	0	0	0	0	0	0	0	0
SWARM_2380	0	0	0	0	0	0	0	0	0	0	0	30	0	0
SWARM_2381	0	2	0	0	0	0	0	0	0	0	0	51	0	0
SWARM_2382	0	3	17	0	0	2	0	0	0	0	0	8	0	0
SWARM_2383	0	1	2	0	0	23	0	6	0	0	0	1	0	0
SWARM_2384	0	31	1	0	0	0	0	1	0	0	0	0	0	0
SWARM_2385	0	33	5	0	2	2	0	5	0	0	0	0	0	1
SWARM_674	5	2	2	2	1	26	0	85	0	1	0	0	0	3
SWARM_672	2	1	7	1	15	10	0	38	9	0	0	0	0	22
SWARM_671	0	0	0	0	1	0	0	0	33	47	67	0	17	8
SWARM_670	2	16	60	0	9	26	0	50	0	2	0	0	1	1
SWARM_679	1	1	0	0	12	0	0	0	3	56	40	0	6	6
SWARM_678	0	5	55	64	46	1	0	0	0	0	2	0	2	0
SWARM_589	0	0	0	0	0	0	0	0	0	60	28	0	13	1
SWARM_588	0	0	0	0	1	0	2	0	2	3	207	0	13	0
SWARM_585	10	120	25	0	0	0	3	1	0	5	0	0	1	1
SWARM_584	0	0	0	0	0	0	0	0	11	106	1	0	4	15
SWARM_586	0	7	101	0	0	0	0	0	0	0	0	0	1	0
SWARM_581	0	0	0	0	0	0	0	0	0	96	16	1	4	0
SWARM_580	0	0	0	0	0	0	5	0	137	29	148	0	42	52
SWARM_583	0	24	119	32	30	34	0	30	0	0	0	0	1	0
SWARM_582	0	23	71	2	1	17	0	5	0	0	0	0	0	0
SWARM_1146	0	0	0	0	0	0	7	0	9	0	45	0	0	0
SWARM_1145	20	7	15	0	0	23	0	9	0	0	0	0	0	1
SWARM_1144	58	6	6	0	0	5	0	10	0	0	0	0	1	0
SWARM_1143	0	37	0	0	18	0	0	0	0	0	3	0	4	2
SWARM_1141	0	0	1	0	1	0	5	0	26	30	79	0	6	0
SWARM_1149	0	0	0	0	0	0	0	0	19	53	4	0	0	0
SWARM_1148	44	11	11	1	1	6	0	8	0	0	0	0	1	2
SWARM_1854	1	27	1	6	34	1	0	2	0	0	0	0	0	0
SWARM_1857	1	4	1	0	0	30	0	2	0	0	0	0	0	2
SWARM_1856	0	0	0	0	0	0	4	0	2	39	3	0	0	1
SWARM_1851	0	0	0	0	0	0	0	0	20	21	7	0	1	3
SWARM_1850	0	0	1	0	7	2	0	0	20	0	25	0	1	0
SWARM_1852	0	0	0	0	0	0	0	0	0	33	1	0	2	1
SWARM_1859	0	0	0	0	0	37	0	2	0	0	0	0	0	0
SWARM_1858	0	0	0	0	0	0	4	0	3	25	8	0	1	1
SWARM_98	207	120	307	7	31	196	0	523	1	28	0	6	8	11
SWARM_99	0	0	0	0	0	0	0	0	10	237	205	0	14	2
SWARM_90	0	0	0	0	0	0	0	0	73	106	328	0	3	0
SWARM_91	1	496	48	3	0	27	0	4	0	2	1	10	2	0
SWARM_92	0	0	0	0	2	0	0	0	1	6	432	0	23	0
SWARM_93	131	195	77	3	31	34	11	84	4	5	1	66	12	4
SWARM_95	404	19	20	0	0	6	0	61	0	3	0	6	0	2
SWARM_96	100	77	178	3	6	60	0	126	0	0	3	20	3	4
SWARM_97	0	19	32	318	521	1	0	0	1	0	10	0	13	2
SWARM_3174	0	0	0	0	0	1	1	0	0	0	0	0	0	28
SWARM_3176	0	0	0	0	0	27	0	0	0	0	0	0	0	0
SWARM_3171	10	2	0	0	0	1	0	27	0	0	0	0	0	1
SWARM_3173	0	0	0	0	0	0	0	0	0	0	0	0	0	24
SWARM_3179	0	0	0	0	0	0	0	1	0	0	0	0	0	21
SWARM_3287	0	0	0	0	0	0	0	0	9	11	55	0	8	5
SWARM_3282	0	5	6	22	2	0	0	4	0	0	0	0	1	0
SWARM_28941	0	0	0	0	0	0	4	0	1	0	0	0	0	0
SWARM_3822	0	0	0	0	0	0	3	0	0	0	0	0	0	28
SWARM_3826	4	38	11	1	0	1	0	8	0	3	0	0	0	0
SWARM_3824	0	0	0	0	0	0	0	0	2	0	14	0	1	19
SWARM_3825	0	0	1	1	1	3	8	2	0	0	2	0	0	2
SWARM_1469	28	23	21	0	2	16	0	12	0	0	0	2	3	0
SWARM_1465	0	0	0	0	0	0	0	0	57	15	28	0	1	5
SWARM_1466	0	0	0	0	0	0	0	0	0	97	11	0	3	0
SWARM_1467	0	10	3	25	88	2	0	2	0	0	0	0	0	2
SWARM_1460	0	0	1	1	20	0	0	4	4	6	7	0	5	4
SWARM_1461	4	6	8	4	1	70	0	15	0	0	0	0	1	1
SWARM_1463	0	0	0	0	0	0	0	0	40	45	24	0	8	0
SWARM_21602	0	0	0	0	0	0	0	0	0	0	0	10	0	0
SWARM_11377	0	0	0	0	0	0	5	0	0	2	0	0	0	0
SWARM_11374	0	0	0	0	0	0	5	0	0	0	0	0	0	0
SWARM_11375	0	0	0	0	0	0	6	0	0	0	0	0	0	0
SWARM_11372	0	0	0	0	0	0	5	0	0	0	0	0	0	0
SWARM_11373	0	0	0	0	0	0	8	0	0	0	0	0	0	0
SWARM_11370	0	0	0	0	0	1	6	0	0	0	0	0	0	0
SWARM_11371	0	0	0	0	0	0	9	0	0	0	0	0	0	0
SWARM_11379	0	0	0	0	0	1	5	0	0	0	0	0	0	0
SWARM_8042	0	0	0	0	0	0	4	0	0	0	0	0	0	5
SWARM_4930	0	0	0	0	19	0	0	0	7	0	0	0	0	0
SWARM_11817	0	0	0	0	0	0	9	0	0	9	0	0	0	0
SWARM_2191	11	20	20	0	3	6	0	5	0	0	0	0	2	0
SWARM_2190	12	2	6	0	0	1	0	20	0	0	0	0	1	0
SWARM_2193	0	0	0	0	0	0	0	0	33	0	0	0	0	0
SWARM_2195	0	1	0	0	1	0	0	0	10	36	1	0	0	0
SWARM_2194	0	0	0	0	0	0	0	0	26	0	3	0	0	0
SWARM_2199	0	0	2	0	0	0	0	0	2	13	50	0	2	2
SWARM_2198	0	0	0	0	0	0	0	0	27	26	18	0	0	1
SWARM_426	0	0	2	0	1	0	0	0	0	8	112	0	31	0
SWARM_425	14	1	16	4	18	57	3	116	0	0	0	1	0	21
SWARM_422	1	7	13	8	102	23	1	3	0	2	4	0	1	2
SWARM_423	2	35	95	0	1	40	0	22	0	0	0	5	0	0
SWARM_420	0	0	0	0	0	0	0	0	2	20	117	0	16	0
SWARM_428	152	118	154	1	9	90	1	118	0	0	0	4	1	2
SWARM_429	8	121	39	1	5	23	0	33	0	0	0	0	2	0
SWARM_1023	0	0	0	0	0	0	0	0	0	0	0	0	0	69
SWARM_10851	0	0	0	0	0	0	11	0	1	1	0	0	0	1
SWARM_511	0	21	73	3	0	103	0	3	0	2	0	3	0	0
SWARM_1262	0	14	3	1	3	31	0	12	0	0	0	0	1	1
SWARM_1263	0	1	4	9	35	8	1	13	17	21	7	0	6	31
SWARM_1260	0	0	0	0	0	0	0	0	0	0	61	0	0	0
SWARM_1261	0	7	5	8	45	4	0	7	0	0	0	0	0	2
SWARM_1266	0	0	0	0	0	0	0	0	0	0	0	0	0	57
SWARM_1267	0	0	0	0	0	0	0	0	0	0	0	0	0	54
SWARM_1264	0	3	6	0	0	68	0	8	0	0	0	0	0	0
SWARM_1269	0	0	51	2	4	1	0	0	0	0	0	0	0	0
SWARM_3325	0	0	0	0	0	0	0	0	25	59	20	0	1	3
SWARM_3321	3	0	0	0	0	0	5	2	3	0	18	0	3	7
SWARM_3328	0	0	0	0	0	16	0	0	3	3	73	1	2	1
SWARM_158	11	82	141	14	12	319	0	35	0	4	0	4	1	1
SWARM_157	0	0	0	0	2	2	10	0	0	137	168	0	27	10
SWARM_155	0	0	1	0	10	0	4	0	0	7	2	0	5	313
SWARM_152	32	204	70	0	2	6	0	34	0	0	0	0	1	1
SWARM_153	0	0	0	0	6	2	0	0	0	0	383	0	2	7
SWARM_150	1	12	25	67	140	25	2	14	3	26	94	0	32	8
SWARM_151	0	0	0	0	13	1	0	0	2	128	166	0	81	8
SWARM_1967	0	1	0	0	0	6	0	23	0	0	1	0	2	1
SWARM_1962	0	0	0	0	0	0	0	0	0	39	0	0	2	0
SWARM_4368	0	0	0	0	0	0	0	0	0	0	0	0	0	16
