"KEGG"	"ED10"	"EN17"	"EN20"	"EOI15"	"EOI20"	"EOK10"	"EU8"	"LOK10"
"K13635"	14.875	6.609	1.491	4.719	1.987	4.819	9.24	2.011
"K13636"	0.07	0.795	0.236	0	0.479	0.211	0.859	0.793
"K13637"	5.965	1.663	0.357	1.302	1.647	0.73	1.589	1.141
"K13638"	11.643	4.109	3.608	7.533	2.278	1.254	4.997	2.504
"K13639"	58.792	9.845	1.913	5.803	6.605	5.304	10.13	9.128
"K13640"	76.76	66.861	7.413	73.609	20.603	16.717	28.71	20.364
"K13641"	142.593	48.624	13.493	43.324	27.447	25.036	36.509	37.042
"K13642"	21.208	3.538	0.582	1.301	1.681	1.062	4.227	1.629
"K13643"	128.466	105.407	33.091	131.763	83.087	55.226	96.276	73.845
"K13651"	5.181	1.829	0.502	1.238	0.206	1.969	3.33	0.387
"K13652"	32.305	38.729	9.698	53.09	25.953	14.19	24.718	13.216
"K13653"	12.704	16.027	10.845	29.696	12.034	7.072	17.389	4.327
"K13654"	25.854	3.627	1.213	2.582	2.229	0.937	3.303	1.318
"K13655"	9.086	4.323	0.644	4.259	0.846	2.675	7.359	0.504
"K13657"	1.073	0.239	0.15	2.459	0.654	0.885	0.497	0.398
"K13658"	2.038	0.587	0.185	1.826	0.392	0.096	0.211	0.501
"K13661"	1.232	0.367	0.044	0.875	0.783	0.507	0.227	0.721
"K13662"	0.139	0.205	0	0	0	0	0.061	0.198
"K13663"	0.741	2.661	0.902	3.94	1.858	0.613	1.288	0.401
"K13664"	0.365	0	0	0	0	0	0	0
"K13665"	2.461	9.689	0.969	1.125	1.223	0.938	2.627	0.722
"K13667"	0.097	0	0	0.216	0.166	0	0.118	0.152
"K13668"	81.753	35.627	9.107	65.972	30.225	20.718	33.715	64.084
"K13669"	2.826	1.239	0.061	0.345	0.124	0.086	0.235	0.398
"K13670"	1.579	3.886	1.028	5.573	3.069	1.675	3.313	3.308
"K13671"	20.656	3.338	0.52	3.145	1.344	0.882	1.767	1.766
"K13676"	0.159	0	0	0	0	0	0	0
"K13678"	0.481	1.079	0.726	0.754	0.672	0.33	0.655	0.304
"K13680"	0.753	0.758	0	0.144	1.72	0.772	0.962	2.173
"K13683"	0.666	2.19	1.388	1.958	1.312	1.773	2.692	0.374
"K13686"	0.07	0.383	0.188	0.511	0.238	0.04	0.487	0
"K13687"	5.323	5.979	2.294	14.668	9.39	3.854	5.352	27.73
"K13688"	587.969	210.229	38.168	46.191	60.49	178.324	223.903	97.753
"K13693"	43.714	53.178	11.47	103.441	71.088	26.497	43.451	63.268
"K13694"	5.785	5.181	1.392	2.706	1.524	1.692	6.175	1.846
"K13695"	1.294	3.96	0.232	3.695	1.11	1.533	2.103	0.96
"K13698"	0.222	0.124	0.06	0.743	0.323	0.181	0.531	0.186
"K13699"	0.722	1.316	1.141	1.211	1.112	0.474	1.357	0.957
"K13700"	4.153	3.196	1.903	5.456	2.362	1.181	5.497	3.911
"K13701"	1.153	0.477	0	0	0.108	0.148	0.145	0.401
"K13702"	4.043	0.673	0.041	1.895	1.448	0.841	1.845	2.661
"K13703"	3.108	4.965	0.571	2.069	2.687	0.977	4.36	2.461
"K13706"	1.876	11.358	0.218	3.811	1.949	1.245	0.847	3.065
"K13714"	0.145	0	0	0	0	0	0	0
"K13721"	0.065	0.673	0.141	0.64	0.858	0.253	0.693	1.188
"K13726"	0.061	0.228	0	0	0.136	0.173	0	0.261
"K13727"	0.172	0	0	0	0	0	0	0.069
"K13730"	11.921	13.284	8.977	14.268	15.299	11.401	16.715	17.013
"K13735"	21.062	20.935	5.344	36.955	22.013	11.225	25.687	28.556
"K13745"	24.911	13.31	4.217	28.755	14.381	7.78	13.558	22.905
"K13747"	27.149	55.916	12.522	35.491	19.917	32.069	44.894	12.555
"K13766"	155.072	62.477	17.562	39.076	38.529	41.109	87.518	62.971
"K13767"	6.151	1.252	0.414	3.644	2.003	3.54	3.106	3.055
"K13770"	34.609	48.928	21.735	85.471	40.342	23.004	31.684	38.534
"K13771"	93.086	24.783	6.015	24.837	14.994	16.619	30.186	16.63
"K13772"	3.38	6.227	2.357	0.389	1.283	1.574	2.45	0.811
"K13774"	77.808	12.587	3.735	5.001	9.609	8.019	23.081	16.804
"K13775"	63.83	21.489	4.756	24.171	15.748	17.923	27.456	35.135
"K13776"	0.651	4.779	2.104	3.06	6.278	1.348	11.435	1.511
"K13777"	79.614	8.343	2.822	6.203	7.038	9.037	25.055	5.098
"K13778"	86.751	18.412	3.699	5.224	14.7	16.59	35.496	12.248
"K13779"	32.899	3.629	1.509	3.042	5.473	4.867	13.884	6.12
"K13783"	0.102	0.034	0.057	0.676	0	0.164	0.355	0.442
"K13786"	2.338	0.375	0.054	0	0.141	0.055	0.326	0.104
"K13787"	52.929	13.406	2.509	38.019	10.956	7.122	11.518	23.782
"K13788"	46.399	69.132	19	113.04	70.093	36.627	69.685	48.781
"K13789"	69.826	86.708	27.493	61.122	54.939	50.137	79.811	46.227
"K13794"	25.764	5.211	0.974	0.917	0.892	2.666	7.455	0.667
"K13795"	50.189	15.472	4.305	4.546	8.166	11.342	17.509	8.788
"K13796"	118.517	44.466	8.599	11.934	21.707	40.403	46.262	47.649
"K13798"	0.076	5.42	1.232	2.673	7.098	1.727	2.467	28.472
"K13799"	0.118	0.484	0.155	0	0.051	0	0.189	0.267
"K13800"	0.734	0.226	0	0	0.379	0.146	0.62	0.472
"K13810"	24.057	19.041	2.531	38.061	20.579	12.511	14.889	20.74
"K13812"	0.851	3.058	0.566	3.536	1.608	1.448	1.474	0.739
"K13815"	10.03	10.039	1.475	22.585	9.995	6.062	7.037	11.989
"K13816"	22.778	21.075	2.321	46.5	20.47	10.301	15.026	15.271
"K13818"	0.929	4.796	0.888	0.202	2.052	3.168	2.557	0.489
"K13819"	4.807	94.232	17.525	117.687	38.91	27.62	33.686	13.978
"K13821"	371.185	162.169	28.005	93.033	105.774	98.414	178.661	201.171
"K13829"	6.047	3.983	2.114	9.368	1.961	1.775	2.322	2.078
"K13830"	0.019	0.069	0	0.2	0.143	0.164	0.049	0.16
"K13831"	8.836	7.359	0.909	3.894	5.746	3.266	3.84	7.029
"K13832"	18.849	9.777	3.086	5.883	7.261	4.923	6.778	24.82
"K13853"	1.626	0.561	0.43	1.494	0.474	0.147	0.358	0.504
"K13863"	0.147	0.177	0.078	0	0.262	0	0.418	0.459
"K13865"	0.148	0.305	0	0	0.295	0	0	0.088
"K13866"	0.486	0	0	0.32	0.061	0	0.045	0.151
"K13874"	35.677	6.162	1.34	0.534	2.927	3.687	8.772	5.59
"K13875"	129.896	29.399	7.062	2.99	8.341	24.463	41.924	12.363
"K13876"	20.207	3.588	0.55	1.817	2.915	3.162	6.175	10.668
"K13877"	43.756	48.679	13.872	16.559	30.036	21.083	41.719	20.472
"K13886"	0.196	0.222	0	0.224	0.426	0.11	0.218	0.757
"K13888"	23.859	19.711	3.753	18.669	9.183	6.463	12.735	10.139
"K13889"	2.589	2.02	0.44	0.586	0.988	2.545	2.472	1.282
"K13890"	5.135	2.146	0.441	0	0.598	2.056	2.311	0.597
"K13891"	1.181	0.478	0.142	0	0.375	1.197	0.773	0.182
"K13892"	1.053	0.259	0.336	0	0.115	0.728	1.293	0.776
